iter	Passed	Remaining
0	4	4148
1	13	6509
2	21	7269
3	31	7832
4	38	7691
5	50	8310
6	56	8081
7	60	7473
8	65	7229
9	70	6975
10	74	6741
11	82	6802
12	89	6793
13	95	6756
14	101	6655
15	109	6713
16	121	7043
17	133	7279
18	154	7982
19	160	7888
20	170	7957
21	176	7854
22	181	7690
23	186	7598
24	193	7553
25	198	7434
26	209	7552
27	214	7437
28	219	7340
29	260	8438
30	270	8449
31	285	8626
32	290	8505
33	293	8346
34	298	8229
35	303	8123
36	308	8025
37	313	7927
38	320	7909
39	339	8153
40	343	8041
41	365	8336
42	375	8364
43	381	8278
44	388	8248
45	393	8156
46	400	8110
47	408	8108
48	412	8014
49	418	7947
50	422	7867
51	428	7809
52	436	7802
53	439	7705
54	444	7641
55	450	7589
56	457	7561
57	461	7499
58	464	7414
59	468	7344
60	472	7275
61	475	7199
62	478	7119
63	481	7044
64	485	6978
65	487	6903
66	490	6833
67	493	6765
68	496	6696
69	498	6626
70	501	6559
71	504	6497
72	506	6434
73	509	6377
74	513	6327
75	516	6274
76	518	6220
77	522	6177
78	526	6132
79	528	6078
80	532	6042
81	535	6000
82	539	5955
83	543	5925
84	545	5874
85	549	5838
86	552	5797
87	555	5755
88	558	5717
89	562	5686
90	565	5644
91	567	5602
92	571	5570
93	573	5530
94	576	5492
95	579	5460
96	582	5427
97	585	5391
98	589	5363
99	592	5333
100	595	5299
101	599	5277
102	602	5249
103	605	5217
104	609	5192
105	612	5161
106	614	5129
107	617	5100
108	621	5080
109	624	5054
110	628	5035
111	632	5013
112	650	5109
113	654	5084
114	655	5046
115	660	5034
116	666	5027
117	669	5003
118	674	4994
119	679	4981
120	682	4960
121	686	4939
122	690	4921
123	695	4910
124	700	4900
125	703	4877
126	708	4867
127	711	4845
128	714	4823
129	719	4813
130	724	4803
131	728	4788
132	732	4773
133	736	4760
134	740	4747
135	745	4736
136	749	4719
137	755	4716
138	759	4706
139	764	4697
140	769	4685
141	773	4675
142	777	4657
143	781	4645
144	785	4631
145	789	4617
